id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
811,192.168.60.131,64:00:6A:86:06:BB,51145,20.54.89.106,AC:F5:E6:D9:FE:C4,443,6,4,-1
813,192.168.60.191,BC:30:5B:B5:40:A4,49351,142.251.33.206,AC:F5:E6:D9:FE:C4,443,6,4,-1
814,192.168.60.111,64:00:6A:83:F1:99,52415,13.69.239.72,AC:F5:E6:D9:FE:C4,443,6,4,-1
815,192.168.50.45,64:00:6A:6E:20:01,50644,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,6,-1
816,192.168.60.183,BC:30:5B:B1:D4:44,52010,192.168.50.18,AC:F5:E6:D9:FE:C4,443,6,6,-1
817,192.168.60.159,BC:30:5B:B5:3A:D9,9168,192.168.50.18,AC:F5:E6:D9:FE:C4,443,6,4,-1
818,192.168.60.111,64:00:6A:83:F1:99,52416,20.54.89.106,AC:F5:E6:D9:FE:C4,443,6,8,-1
819,192.168.60.107,54:B2:03:8B:7F:3B,60312,151.101.1.195,AC:F5:E6:D9:FE:C4,80,6,6,-1
820,192.168.50.126,00:50:56:B2:38:03,34148,192.168.50.248,54:B2:03:8B:7D:69,80,6,18,-1
821,192.168.50.45,64:00:6A:6E:20:01,50645,52.152.110.14,AC:F5:E6:D9:FE:E8,443,6,6,-1
822,192.168.60.191,BC:30:5B:B5:40:A4,49352,54.239.152.51,AC:F5:E6:D9:FE:C4,443,6,4,-1
823,192.168.50.45,64:00:6A:6E:20:01,50646,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,6,-1
824,192.168.60.191,BC:30:5B:B5:40:A4,49353,54.239.152.51,AC:F5:E6:D9:FE:C4,443,6,4,-1
825,192.168.50.45,64:00:6A:6E:20:01,50647,51.105.71.136,AC:F5:E6:D9:FE:E8,443,6,4,-1
826,192.168.50.45,64:00:6A:6E:20:01,50648,52.168.117.173,AC:F5:E6:D9:FE:E8,443,6,4,-1
827,192.168.50.132,00:50:56:B2:18:3B,45802,192.168.50.248,54:B2:03:8B:7D:69,80,6,18,-1
828,192.168.50.127,00:50:56:B2:3E:E6,56622,192.168.50.106,02:01:A6:C3:D8:5E,80,6,24,-1
829,192.168.50.45,64:00:6A:6E:20:01,50649,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,2,-1
1774,192.168.50.50,54:B8:0A:38:7A:BD,53932,10.113.0.201,D0:EC:35:59:2F:EB,2055,17,80,-1
1775,192.168.0.100,00:50:56:6F:F3:7F,12055,192.168.60.5,00:E0:4C:DC:00:6A,2055,17,858,-1
1776,192.168.60.90,E0:DC:A0:56:8B:11,49155,192.168.60.254,AC:F5:E6:D9:FE:C4,123,17,16,-1
1797,192.168.50.248,54:B2:03:8B:7D:69,49152,169.254.255.255,AC:F5:E6:D9:FE:E8,64669,17,8,-1
1798,192.168.50.248,54:B2:03:8B:7D:69,49152,192.168.50.255,FF:FF:FF:FF:FF:FF,64669,17,52,-1
1799,192.168.50.248,54:B2:03:8B:7D:69,49152,255.255.255.255,FF:FF:FF:FF:FF:FF,64669,17,52,-1
1806,192.168.50.1,D0:EC:35:59:2F:EB,55516,10.113.0.201,AC:F5:E6:D9:FE:E8,2055,17,3,-1
1811,192.168.0.101,00:50:56:6F:F3:7F,12055,192.168.60.5,00:E0:4C:DC:00:6A,2055,17,4,-1
1827,192.168.50.248,54:B2:03:8B:7D:69,49673,255.255.255.255,FF:FF:FF:FF:FF:FF,1947,17,13,-1
3888,192.168.60.210,B8:27:EB:B8:03:59,44404,8.8.8.8,AC:F5:E6:D9:FE:C4,53,17,4,-1
3920,192.168.50.106,02:01:A6:C3:D8:5E,53808,8.8.8.8,AC:F5:E6:D9:FE:E8,53,17,4,-1
3922,192.168.51.205,00:0C:29:16:71:6E,38903,199.7.83.42,AC:F5:E6:D9:FE:C6,53,17,2,-1
3923,192.168.51.25,9C:B6:D0:93:1E:AD,42725,192.168.51.205,00:0C:29:16:71:6E,53,17,4,-1
3924,192.168.51.25,9C:B6:D0:93:1E:AD,42229,192.168.51.205,00:0C:29:16:71:6E,53,17,4,-1
3925,192.168.51.205,00:0C:29:16:71:6E,36303,8.8.8.8,AC:F5:E6:D9:FE:C6,53,17,4,-1
3926,192.168.51.205,00:0C:29:16:71:6E,34389,8.8.8.8,AC:F5:E6:D9:FE:C6,53,17,4,-1
3927,192.168.50.50,54:B8:0A:38:7A:BD,34447,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3928,192.168.50.50,54:B8:0A:38:7A:BD,60970,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3929,192.168.51.205,00:0C:29:16:71:6E,34815,199.7.91.13,AC:F5:E6:D9:FE:C6,53,17,2,-1
3930,192.168.50.45,64:00:6A:6E:20:01,65495,172.16.31.100,AC:F5:E6:D9:FE:E8,53,17,4,-1
3931,192.168.51.137,B8:27:EB:A3:D9:7B,33556,192.168.51.205,00:0C:29:16:71:6E,53,17,8,-1
3932,192.168.51.205,00:0C:29:16:71:6E,43521,192.58.128.30,AC:F5:E6:D9:FE:C6,53,17,2,-1
3933,192.168.51.25,9C:B6:D0:93:1E:AD,59241,192.168.51.205,00:0C:29:16:71:6E,53,17,4,-1
3934,192.168.51.205,00:0C:29:16:71:6E,51264,8.8.8.8,AC:F5:E6:D9:FE:C6,53,17,4,-1
3935,192.168.50.50,54:B8:0A:38:7A:BD,34090,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3936,192.168.50.50,54:B8:0A:38:7A:BD,20452,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3937,192.168.51.205,00:0C:29:16:71:6E,59571,198.41.0.4,AC:F5:E6:D9:FE:C6,53,17,2,-1
3938,192.168.50.19,B4:FB:E4:5E:27:33,54967,255.255.255.255,FF:FF:FF:FF:FF:FF,10002,17,13,-1
3939,192.168.51.205,00:0C:29:16:71:6E,39739,192.33.4.12,AC:F5:E6:D9:FE:C6,53,17,2,-1
3940,192.168.51.137,B8:27:EB:A3:D9:7B,59524,192.168.51.205,00:0C:29:16:71:6E,53,17,8,-1
3941,192.168.51.25,9C:B6:D0:93:1E:AD,36155,192.168.51.205,00:0C:29:16:71:6E,53,17,4,-1
3942,192.168.51.205,00:0C:29:16:71:6E,40050,192.203.230.10,AC:F5:E6:D9:FE:C6,53,17,2,-1
3943,192.168.50.50,54:B8:0A:38:7A:BD,49889,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3944,192.168.50.50,54:B8:0A:38:7A:BD,12277,8.8.8.8,D0:EC:35:59:2F:EB,53,17,10,-1
3945,192.168.51.205,00:0C:29:16:71:6E,43476,192.112.36.4,AC:F5:E6:D9:FE:C6,53,17,2,-1
